Compound	Zscore_P1_UDN418969 (Relative of UDN797885)	Zscore_P1_UDN050783 (Relative of UDN797885)	Zscore_P1_UDN853355	Zscore_P1_UDN865642	Zscore_P1_UDN678474 (Relative of UDN865642)	Zscore_P1_UDN933024 (Relative of UDN865642)	Zscore_P1_UDN869748	Zscore_P1_UDN916494	Zscore_P1_UDN336336	Zscore_P1_UDN372273	Zscore_P1_UDN711539 (Relative of UDN372273)	Zscore_P1_UDN526792	Zscore_P1_UDN538368	Zscore_P1_UDN107726 (Relative of UDN538368)	Zscore_P1_UDN583127	Zscore_P1_UDN627073	Zscore_P1_UDN481754 (Relative of UDN627073)	Zscore_P1_UDN683706	Zscore_P1_UDN710245	Zscore_P1_UDN948125 (Relative of UDN710245)	Zscore_P1_UDN073552 (Relative of UDN710245)	Zscore_P1_UDN744855	Zscore_P1_UDN755687	Zscore_P1_UDN896870	Zscore_P1_UDN830764 (Relative of UDN896870)	Zscore_P1_UDN050783 (Relative of UDN797885).1	Zscore_P1_UDN924574	Zscore_P1_UDN957763	Metacyc Object ID	Map to Homo sapiens	PubChem	CAS	ChEBI	DrugBank	HMDB	LIPID MAPS	Synonyms
L-ASPARTATE	2.176	2.7319999999999998	3.2889999999999997	4.546	3.404	3.112	2.1319999999999997	2.418	2.539	4.156000000000001	3.93	3.783	2.544	2.96	3.197	2.764	2.9930000000000003	3.6180000000000003	4.431	3.2960000000000003	3.986	3.239	4.055	3.609	3.5839999999999996	3.69	3.773	3.844	L-ASPARTATE	L-ASPARTATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460294'>5460294</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-84-8'>56-84-8</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29991'>29991</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00191'>HMDB00191</a>		L-aspartic acid // aspartic acid // D // aspartate // asp // L-asp
CYS	0.867	0.6729999999999999	1.135	0.547	1.0979999999999999	0.302	0.8690000000000001	1.061	0.364	0.22899999999999998	0.435	-0.17800000000000002	0.28	0.5760000000000001	-0.11	0.8059999999999999	0.425	0.718	0.789	0.342	0.609	0.094	0.8	-0.382	0.212	0.41	-0.431	-0.191	CYS	CYS	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6419722'>6419722</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=4371-52-2'>4371-52-2</a> // <a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=52-90-4'>52-90-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35235'>35235</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00574'>HMDB00574</a>		C // carbocysteine // cysteine // Cys // L-cys
CYSTINE	0.736	1.177	1.3940000000000001	0.87	1.508	0.9590000000000001	1.0390000000000001	1.624	0.667	1.176	1.274	-0.032	1.169	0.904	0.885	0.865	1.1909999999999998	1.062	0.696	0.997	1.209	0.882	0.51	0.509	0.997	0.903	0.9229999999999999	1.016	CYSTINE	CYSTINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6992103'>6992103</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=24645-67-8'>24645-67-8</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35491'>35491</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00192'>HMDB00192</a>		
CPD-12923	-1.672	-0.5479999999999999	-0.597	-1.146	-1.794	-1.5130000000000001	-0.752	0.794	-0.244	-0.314	-0.207	0.311	-0.86	0.332	-1.188	0.639	-1.212	0.086	-1.24	-1.189	-0.634	-0.687	-0.08900000000000001	1.105	0.841	-0.597	0.218	-0.7490000000000001	CPD-12923		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2724705'>2724705</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=498-07-7'>498-07-7</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30997'>30997</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00640'>HMDB00640</a>		1,6-Anhydro-beta-D-glucose // 1,6-Anhydro-beta-glucopyranose // Leucoglucosan // 1,6-anhydro-&beta;-D-glucopyranose
GLT	-2.218	-1.702	-1.6680000000000001	-1.2009999999999998	-1.0070000000000001	-2.201	-0.414	-0.865	-0.866	-0.08199999999999999	-0.6709999999999999	-0.057999999999999996	0.35700000000000004	-0.907	-0.256	-0.638	-1.371	-0.41600000000000004	0.237	-1.2570000000000001	0.275	-0.162	-0.265	-1.347	-1.1440000000000001	-1.23	-0.222	-1.986	GLT	GLT	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460299'>5460299</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-86-0'>56-86-0</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29985'>29985</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00148'>HMDB00148</a>		1-amino-propane-1,3-dicarboxylic acid // glutacid // glutaminic acid // L-glutamic acid // &alpha;-aminoglutaric acid // E // glt // glu // glut // L-glu // 2-aminopentanedioic acid
GLN	-0.33399999999999996	0.077	0.7929999999999999	-0.26899999999999996	-0.391	-0.889	-0.131	0.322	0.33	1.23	0.8390000000000001	0.48100000000000004	1.6740000000000002	1.472	0.785	1.064	0.662	1.217	1.162	1.5630000000000002	1.29	0.48200000000000004	1.248	-0.003	1.729	0.8109999999999999	0.688	1.483	GLN	GLN	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6992086'>6992086</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-85-9'>56-85-9</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58359'>58359</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00641'>HMDB00641</a>		Q // proglumide // glum // gln // glutamine // glumin // 2-aminoglutaramic acid // glutamic acid 5-amide // L-gln
ILE	-0.326	-0.914	-0.136	-1.318	-0.301	-1.013	0.324	-1.952	0.413	0.406	0.42100000000000004	0.133	0.7070000000000001	0.23600000000000002	-0.092	0.16699999999999998	-0.22899999999999998	2.077	-0.379	0.504	0.544	-0.45899999999999996	-0.10800000000000001	-0.342	-0.5589999999999999	-0.552	-0.263	-0.373	ILE	ILE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7043901'>7043901</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=73-32-5'>73-32-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58045'>58045</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00172'>HMDB00172</a>		I // ile // iso-leucine // L-ile
LEU	-0.669	-1.217	-0.03	-0.282	-0.188	-0.772	0.033	-1.32	0.562	0.307	0.418	-0.632	0.8390000000000001	0.436	0.153	0.28800000000000003	-0.06	1.946	-0.124	0.39799999999999996	0.5760000000000001	-0.35600000000000004	-0.11699999999999999	-0.449	-0.384	-0.109	-0.203	-0.35700000000000004	LEU	LEU	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7045798'>7045798</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=61-90-5'>61-90-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57427'>57427</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00687'>HMDB00687</a>		(2S)-&alpha;-2-amino-4-methylvaleric acid // L // leu // leucine // 2-amino-4-methylvaleric acid // (2S)-&alpha;-leucine // L-leu
LYS	-4.444	-3.3739999999999997	0.87	1.245	-3.3680000000000003	-6.754	2.945	-1.7	0.42700000000000005	5.749	4.31	0.71	-2.275	3.03	-0.9990000000000001	2.6510000000000002	4.482	3.04	1.96	-0.409	3.341	-4.172	-6.0760000000000005	2.281	-0.20199999999999999	1.022	2.6830000000000003	4.232	LYS	LYS	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460926'>5460926</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-87-1'>56-87-1</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32551'>32551</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00182'>HMDB00182</a>		K // lysine // L-lys // lys // 2,6-diaminohexanoic acid // lysine acid
MET	-0.9009999999999999	-1.58	-2.6180000000000003	-7.754	0.49	-0.8490000000000001	-2.41	-2.399	-0.665	0.491	0.715	-0.601	-0.042	0.743	-0.006	0.29	-0.311	2.083	-0.262	0.8009999999999999	0.56	-0.654	0.196	-0.779	-0.385	-0.08800000000000001	-0.7390000000000001	0.113	MET	MET	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6992087'>6992087</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=63-68-3'>63-68-3</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57844'>57844</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00696'>HMDB00696</a>		M // met // methionine // L-met
L-ORNITHINE	-1.402	-0.8590000000000001	-0.439	-2.89	-0.017	-2.273	-0.10400000000000001	-0.313	1.0590000000000002	0.217	-0.556	-0.40399999999999997	1.0590000000000002	0.6920000000000001	1.133	0.24	-3.708	2.418	0.016	0.977	0.609	-1.261	-0.22	-2.608	0.9129999999999999	-0.29600000000000004	-1.32	-0.095	L-ORNITHINE	L-ORNITHINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6992088'>6992088</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:46911'>46911</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00214'>HMDB00214</a>		Ornithine // 2, 5-diaminovaleric acid // 2, 5-diaminopentanoic acid // 2, 5-diaminopentanoate // &alpha;,&delta;-diaminovaleric acid
PHE	-1.7930000000000001	-0.45799999999999996	-0.741	-3.722	-1.161	-1.818	-0.5660000000000001	0.331	0.573	-0.025	0.044000000000000004	-0.925	0.184	0.07200000000000001	0.068	-0.483	-0.377	2.637	-0.43	-0.057	0.462	-1.609	-0.376	-1.296	0.124	-0.342	-1.308	-1.0759999999999998	PHE	PHE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6925665'>6925665</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=63-91-2'>63-91-2</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58095'>58095</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00159'>HMDB00159</a>		2S-&alpha;-phenylalanine // F // endophenyl // phenylalanine // phe // L-phe
PRO	-0.34	-0.826	0.29	-0.131	0.149	-1.273	0.342	-1.083	0.21899999999999997	1.092	0.47700000000000004	-0.12	0.715	0.504	-0.079	0.024	-0.27699999999999997	1.193	-0.259	0.294	0.13	-0.297	-0.126	-0.823	-0.17300000000000001	-0.624	-0.414	0.27899999999999997	PRO	PRO	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6971047'>6971047</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=147-85-3'>147-85-3</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:60039'>60039</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00162'>HMDB00162</a>		2-pyrrolidinecarboxylic acid // P // proline // prol // pro // L-pro
5-OXOPROLINE	-0.5539999999999999	-0.155	0.6459999999999999	-1.005	0.066	-1.182	-0.152	-0.09699999999999999	-0.8909999999999999	-0.055	-0.124	0.138	0.978	-0.6679999999999999	-0.303	-0.804	-1.0290000000000001	0.6559999999999999	-0.051	0.038	0.486	-0.687	0.22399999999999998	-1.5730000000000002	-0.027000000000000003	-0.631	-0.816	-0.491	5-OXOPROLINE	5-OXOPROLINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5289118'>5289118</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=98-79-3'>98-79-3</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58402'>58402</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00267'>HMDB00267</a>		pyrrolidone-COO // pyrrolidone-carboxylate // L-5-pyrrolidone-2-carboxylic acid // L-pyroglutamic acid // 5-oxo-L-proline // pyroglutamic acid // pyroglutamate // 5-pyrrolidone-2-carboxylic acid // L-pyroglutamate // Pidolic acid
SER	-0.016	0.499	-0.366	-0.175	-0.445	-1.045	-0.8009999999999999	-0.626	0.11800000000000001	0.639	1.032	-0.33799999999999997	0.214	0.027000000000000003	-1.433	0.078	-0.087	1.12	0.861	-0.48	0.11	-0.21600000000000003	1.161	-0.5920000000000001	0.275	0.633	0.284	0.8	SER	SER	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6857581'>6857581</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-45-1'>56-45-1</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:33384'>33384</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00187'>HMDB00187</a>		S // serine // ser // L-ser
L-THREONATE	0.062	0.601	0.431	0.233	0.057	0.868	-1.3730000000000002	0.21100000000000002	-0.386	-0.5670000000000001	0.023	-0.765	0.28600000000000003	0.653	-0.479	-1.0190000000000001	0.698	-0.14800000000000002	0.486	-0.628	-0.8490000000000001	-0.54	0.505	0.203	-0.33299999999999996	1.038	-0.358	-0.7559999999999999	L-THREONATE	L-THREONATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=21145021'>21145021</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=7306-96-9'>7306-96-9</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57561'>57561</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00943'>HMDB00943</a>		threonate // threonic acid
THR	0.031	0.077	0.245	-0.309	0.34299999999999997	-0.836	-0.5670000000000001	-0.185	-0.188	1.307	2.4659999999999997	0.449	0.145	0.763	-1.265	0.282	-0.409	2.431	-0.24600000000000002	0.769	0.8029999999999999	-0.326	-0.185	-0.997	-0.858	0.28	-0.521	1.085	THR	THR	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6971019'>6971019</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=72-19-5'>72-19-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57926'>57926</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00167'>HMDB00167</a>		T // thr // thre // L-thr // threonine // 2-amino-3-hydroxybutyric acid
TYR	-0.389	-0.13699999999999998	-0.128	-1.3780000000000001	-0.198	-1.173	0.276	-1.046	0.731	1.1440000000000001	0.065	-1.413	0.10800000000000001	0.21899999999999997	0.06	0.053	-0.6559999999999999	3.389	-0.41200000000000003	1.4	0.664	-0.494	0.033	-2.225	-0.086	-0.966	-0.509	-0.9159999999999999	TYR	TYR	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6942100'>6942100</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=60-18-4'>60-18-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58315'>58315</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00158'>HMDB00158</a>		Y // tyr // tyrosine // L-tyr
VAL	-0.45799999999999996	-1.085	0.36700000000000005	-0.154	-0.861	-1.45	0.07	-0.6559999999999999	1.123	1.081	1.166	-0.461	1.0859999999999999	0.38299999999999995	0.006999999999999999	0.28	-0.087	1.7819999999999998	-0.096	0.439	0.782	-0.255	-0.044000000000000004	-0.578	-0.43799999999999994	-0.303	0.109	-0.491	VAL	VAL	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6971018'>6971018</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=72-18-4'>72-18-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57762'>57762</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00883'>HMDB00883</a>		V // val // valine // L-val
malonic acid 1	0.212	0.603	1.489	0.243	0.9570000000000001	0.5539999999999999	-0.45399999999999996	1.127	-0.332	0.965	1.057	0.299	0.518	0.779	0.7879999999999999	0.048	0.345	0.069	-0.098	0.835	0.7829999999999999	-0.23	0.36700000000000005	0.171	1.389	0.5820000000000001	-0.192	0.048									
MALONATE	-0.462	-0.185	2.168	0.762	0.836	0.29600000000000004	0.8079999999999999	-0.015	-1.297	-0.361	-0.9590000000000001	0.272	-0.9209999999999999	-0.9129999999999999	-0.946	-0.2	0.34600000000000003	-0.059000000000000004	-0.565	-0.151	-0.856	-0.851	0.797	0.063	-0.11900000000000001	0.5760000000000001	-1.351	-2.01	MALONATE								
MALTOSE	-1.085	-0.96	-0.797	-1.182	-0.293	-1.381	-0.446	-0.494	-0.743	-0.22899999999999998	-0.649	-1.82	-0.03	-0.446	0.005	-0.45	0.125	-1.141	-0.42700000000000005	-0.434	-0.597	-3.1839999999999997	-1.044	-1.6580000000000001	-0.915	-1.301	-1.982	-0.369	MALTOSE	MALTOSE		<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=69-79-4'>69-79-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17306'>17306</a>				&alpha;-D-glucopyranose-(1&rarr;4)-D-glucopyranose // maltose
CPD-7836	0.306	-0.10400000000000001	0.225	-0.816	0.614	-0.48100000000000004	-0.161	0.888	-1.082	-0.966	-0.17800000000000002	0.057999999999999996	-0.585	-0.449	-0.127	-0.738	0.679	0.066	-0.303	-0.265	-0.301	-1.317	-0.993	-0.40399999999999997	-0.11199999999999999	-0.716	-0.9420000000000001	0.35600000000000004	CPD-7836	CPD-7836	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4075158'>4075158</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=544-63-8'>544-63-8</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30807'>30807</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00806'>HMDB00806</a>		myristic acid // tetradecanoate // tetradecanoic acid // tetradecoate // tetradecoic acid
N-formylglycine	2.543	1.986	1.067	2.8560000000000003	2.536	1.808	1.194	1.751	-3.41	-4.4910000000000005	-5.653	-1.71	-5.7589999999999995	-5.735	-1.229	-5.346	-4.973	-3.9219999999999997	-5.112	-3.3989999999999996	-5.513	-5.688	1.301	-5.864	-3.89	-3.451	-5.09	-1.495									
CPD-8505	-0.53	0.78	0.625	-0.522	0.099	0.08199999999999999	-0.409	1.2570000000000001	-0.961	-1.5430000000000001	-2.2359999999999998	-0.175	-2.917	-0.532	-2.721	-0.561	-1.926	-0.37	-0.6920000000000001	-2.555	-1.2570000000000001	-2.3	-1.6840000000000002	-0.12300000000000001	-1.5759999999999998	-1.219	-1.444	-3.575	CPD-8505								
OLEATE-CPD																													OLEATE-CPD	OLEATE-CPD	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460221'>5460221</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=112-80-1'>112-80-1</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30823'>30823</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00207'>HMDB00207</a>		oleic acid // (9Z)-octadec-9-enoate // (9Z)-octadecenoate // (9Z)-octadecenoic acid // (9Z)-octadec-9-enoic acid // (Z)-octadec-9-enoic acid // 18:1 n-9 // 18:1&Delta;9cis // C18:1 n-9 // cis-9-octadecenoic acid // cis-&Delta;<sup>9</sup>-octadecenoic acid // cis-oleic acid // octadec-9-enoic acid // octadecenoate (n-C18:1) // 9-octadecenoic acid
O-phosphocolamine	0.517	0.787	0.8	-0.028999999999999998	1.354	0.456	1.545	0.20800000000000002	-0.871	-0.15	0.057999999999999996	0.078	0.45299999999999996	-0.017	0.6859999999999999	0.42100000000000004	-0.546	0.597	0.364	0.027999999999999997	0.67	0.452	0.562	0.166	-0.27699999999999997	0.175	-0.674	0.01									
OXALATE	1.811	1.232	-0.10400000000000001	1.2590000000000001	1.1909999999999998	1.26	0.701	0.728	2.123	1.99	1.619	1.7	1.636	1.715	1.607	1.913	1.724	1.993	1.806	1.2890000000000001	1.694	1.55	1.681	1.7280000000000002	0.73	1.475	2.121	1.929	OXALATE	OXALATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=71081'>71081</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=144-62-7'>144-62-7</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30623'>30623</a>	<a href='http://www.drugbank.ca/drugs/DB02737'>DB02737</a>	<a href='http://www.hmdb.ca/metabolites/HMDB02329'>HMDB02329</a>		oxalic acid // ethanedioic acid
PALMITATE	0.841	0.27399999999999997	0.49200000000000005	0.555	0.845	0.314	0.1	2.7969999999999997	-2.156	-0.44299999999999995	-0.335	-0.927	-0.40399999999999997	-0.797	-0.581	-1.459	0.9420000000000001	-0.8	0.373	-1.1520000000000001	-0.6459999999999999	-0.46799999999999997	-1.565	0.183	-0.5670000000000001	-0.8959999999999999	-0.728	0.252	PALMITATE	PALMITATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=504166'>504166</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=57-10-3'>57-10-3</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:7896'>7896</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00220'>HMDB00220</a>		hexadecanoate (n-C16:0) // palmitic acid // hexadecanoate // hexadecanoic acid
Pi	-0.217	-0.736	-8.478	-0.09699999999999999	-1.234	-0.7240000000000001	-1.3459999999999999	-0.03	0.8959999999999999	-2.324	1.169	1.021	-0.111	0.578	0.023	1.39	0.647	1.271	1.66	0.386	0.698	-0.011000000000000001	-2.5989999999999998	1.268	0.821	0.452	1.607	0.127	Pi	Pi	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3681305'>3681305</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=14265-44-2'>14265-44-2</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:43474'>43474</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00973'>HMDB00973</a>		inorganic phosphate // phosphate-inorganic // Pi // orthophosphate // PO<SUB>4</SUB><SUP>3-</SUP> // HPO<SUB>4</SUB><SUP>2-</SUP> // HPO<SUB>4</SUB><SUP>-2</SUP>
phosphenodiimidic amide	-0.064	0.17800000000000002	1.2930000000000001	0.611	0.43200000000000005	-0.011000000000000001	0.46299999999999997	0.7240000000000001	-0.934	-0.856	-0.912	0.52	-0.324	-0.951	-0.7909999999999999	-0.213	-1.3430000000000002	0.44799999999999995	-0.381	0.324	0.688	-1.216	-1.525	-0.365	0.242	-0.6920000000000001	-0.6890000000000001	-0.078									
porphine	0.975	1.936	0.252	-1.082	0.136	0.593	1.22	0.685	1.101	-0.222	-0.49	0.785	-0.536	-0.172	-1.281	0.302	0.177	0.966	0.452	-0.72	0.18899999999999997	-0.134	0.341	0.276	-0.22	0.016	0.539	-0.085									
PYRIMIDINE-RING	-0.97	-1.045	-0.684	-2.238	-0.203	-1.064	0.598	-0.396	0.251	-0.24100000000000002	-0.368	-0.113	-0.201	0.015	-0.21100000000000002	-0.193	0.271	0.259	-0.7190000000000001	-0.184	0.075	0.14400000000000002	-1.301	-0.331	0.036000000000000004	0.113	-1.642	-1.099	PYRIMIDINE-RING	PYRIMIDINE-RING	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9260'>9260</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16898'>16898</a>		<a href='http://www.hmdb.ca/metabolites/HMDB03361'>HMDB03361</a>		1,3-diazin // m-diazine // metadiazine
PYRUVATE	0.096	0.242	-1.2570000000000001	-1.5919999999999999	-0.6759999999999999	-0.534	0.622	2.4	1.094	1.228	-0.301	1.2009999999999998	1.077	1.2919999999999998	1.079	0.78	-1.6380000000000001	1.53	0.201	-1.3530000000000002	0.564	-1.695	2.3209999999999997	-1.056	-1.548	-0.086	-0.539	1.5319999999999998	PYRUVATE	PYRUVATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=107735'>107735</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=127-17-3'>127-17-3</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15361'>15361</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00243'>HMDB00243</a>		alpha-ketopropionic acid // BTS // &alpha;-ketopropionic acid // acetylformic acid // pyroracemic acid // 2-oxopropanoic acid // pyruvic acid // 2-oxopropanoate // 2-oxo-propionic acid
D-Ribofuranose	0.973	0.405	1.298	0.612	0.132	0.447	0.721	0.75	-0.223	0.177	0.146	-0.37200000000000005	-0.16	-0.358	0.358	-0.49200000000000005	0.69	-0.745	-0.345	0.317	-0.665	0.191	-0.545	-0.54	0.163	-0.261	0.66	0.6409999999999999	D-Ribofuranose	D-Ribofuranose			<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:47013'>47013</a>				
CPD-110															0.741														CPD-110	CPD-110	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=54675850'>54675850</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=69-72-7'>69-72-7</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30762'>30762</a>		<a href='http://www.hmdb.ca/metabolites/HMDB01895'>HMDB01895</a>		salicylic acid // o-hydroxybenzoic acid // 2-hydroxybenzoic acid // SA // 2-HBA // 2-hydroxybenzoate // o-hydroxybenzoate
SPERMIDINE	0.725	1.128	0.784	0.8440000000000001	0.44299999999999995	-0.212	-0.39799999999999996	0.823	0.29100000000000004	-0.46299999999999997	-0.516	0.612	-1.018	-0.264	0.061	-0.18100000000000002	0.09	-0.307	0.04	-0.938	-0.8440000000000001	-0.6679999999999999	-0.115	-0.256	-0.37799999999999995	0.371	-0.687	0.17600000000000002	SPERMIDINE	SPERMIDINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6992097'>6992097</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=124-20-9'>124-20-9</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57834'>57834</a>		<a href='http://www.hmdb.ca/metabolites/HMDB01257'>HMDB01257</a>		<i>N</i>-(3-aminopropyl)butane-1,4-diamine
