PNNL Metabolite Name (Urine & Plasma) 	Compound	Metacyc Object ID	Map to Homo sapiens	PubChem	CAS	ChEBI	DrugBank	HMDB	LIPID MAPS	Synonyms
L-serine	SER	SER	SER	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6857581'>6857581</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-45-1'>56-45-1</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:33384'>33384</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00187'>HMDB00187</a>		S // serine // ser // L-ser
spermidine	SPERMIDINE	SPERMIDINE	SPERMIDINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6992097'>6992097</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=124-20-9'>124-20-9</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57834'>57834</a>		<a href='http://www.hmdb.ca/metabolites/HMDB01257'>HMDB01257</a>		<i>N</i>-(3-aminopropyl)butane-1,4-diamine
sucrose	SUCROSE	SUCROSE	SUCROSE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5988'>5988</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=57-50-1'>57-50-1</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17992'>17992</a>	<a href='http://www.drugbank.ca/drugs/DB02772'>DB02772</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00258'>HMDB00258</a>		saccharose // Glc(&alpha;1->2&beta;)Fru // &beta;-D-fructofuranosyl-(2&harr;1)-&alpha;-D-glucopyranoside
L-threonine	THR	THR	THR	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6971019'>6971019</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=72-19-5'>72-19-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57926'>57926</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00167'>HMDB00167</a>		T // thr // thre // L-thr // threonine // 2-amino-3-hydroxybutyric acid
L-tyrosine	TYR	TYR	TYR	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6942100'>6942100</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=60-18-4'>60-18-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58315'>58315</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00158'>HMDB00158</a>		Y // tyr // tyrosine // L-tyr
uric acid	CPD-15332	CPD-15332	CPD-15332			<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:46814'>46814</a>				urate // uric acid
urea (interference)	UREA	UREA	UREA	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=1176'>1176</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=57-13-6'>57-13-6</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16199'>16199</a>	<a href='http://www.drugbank.ca/drugs/DB03904'>DB03904</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00294'>HMDB00294</a>		bromisovalum // carmol // basodexan // carbamide
L-valine	VAL	VAL	VAL	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6971018'>6971018</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=72-18-4'>72-18-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57762'>57762</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00883'>HMDB00883</a>		V // val // valine // L-val
inosine	INOSINE	INOSINE	INOSINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6021'>6021</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=58-63-9'>58-63-9</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17596'>17596</a>	<a href='http://www.drugbank.ca/drugs/DB04335'>DB04335</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00195'>HMDB00195</a>		hypoxanthine-ribose // iso-prinosine // riboxine
galactinol	CPD-458	CPD-458		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25202439'>25202439</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17505'>17505</a>		<a href='http://www.hmdb.ca/metabolites/HMDB05826'>HMDB05826</a>		1-O-&alpha;-D-galactosyl-D-<i>myo</i>-inositol // 1-&alpha;-D-galactosyl-<i>myo</i>-inositol // &alpha;-D-galactosyl-(1->3)-1D-<i>myo</i>-inositol
isomaltose	Isomaltose	Isomaltose	Isomaltose							brachiose // &alpha;-D-glucopyranose-(1&rarr;6)-D-glucopyranose // 6-<i>O</i>-&alpha;-D-glucopyranosyl-D-glucopyranose
D-maltitol	D-maltitol									
glycine	GLY	GLY	GLY	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5257127'>5257127</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-40-6'>56-40-6</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15428'>15428</a>	<a href='http://www.drugbank.ca/drugs/DB00145'>DB00145</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00123'>HMDB00123</a>		G // aminoacetic acid // gly
ethanolamine*	ETHANOL-AMINE	ETHANOL-AMINE	ETHANOL-AMINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=444693'>444693</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=141-43-5'>141-43-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57603'>57603</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00149'>HMDB00149</a>		2-aminoethanol // monoethanolamine // colamine // ethanol-amine
dehydroalanine	2-AMINOACRYLATE	2-AMINOACRYLATE	2-AMINOACRYLATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=22022579'>22022579</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58020'>58020</a>		<a href='http://www.hmdb.ca/metabolites/HMDB03609'>HMDB03609</a>		2-aminoacrylate // &alpha;-aminoacrylate // 2-aminoacrylic acid // 2,3-didehydroalanine // &alpha;,&beta;-dehydroalanine // anhydroserine 2-aminopropenoic acid // dehydroalanine
aminomalonic acid*	AMINOMALONATE	AMINOMALONATE	AMINOMALONATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25203682'>25203682</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58158'>58158</a>		<a href='http://www.hmdb.ca/metabolites/HMDB01147'>HMDB01147</a>		aminomalonic acid
L-alanine	L-ALPHA-ALANINE	L-ALPHA-ALANINE	L-ALPHA-ALANINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7311724'>7311724</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-41-7'>56-41-7</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57972'>57972</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00161'>HMDB00161</a>		alanine // L-&alpha;-alanine // ala
glycerol 3-phosphate	GLYCEROL-3P	GLYCEROL-3P	GLYCEROL-3P	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7048686'>7048686</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=57-03-4'>57-03-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57597'>57597</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00126'>HMDB00126</a>		L-&alpha;-glycerophosphate // L-G3P // L-glycerol 3-phosphate // &alpha;-glycerophosphoric acid // &alpha;-glycerophosphate // D-glycerol 1-phosphate // glycerol 3-phosphate
allantoin	ALLANTOIN	ALLANTOIN	ALLANTOIN	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=204'>204</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=97-59-6'>97-59-6</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15676'>15676</a>				
3-hydroxyisobutyric acid	3-HYDROXY-ISOBUTYRATE	3-HYDROXY-ISOBUTYRATE	3-HYDROXY-ISOBUTYRATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11966314'>11966314</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=2068-83-9'>2068-83-9</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:11805'>11805</a>				3-hydroxy-isobutyrate // 3-hydroxyisobutyric acid // 3-hydroxy-2-methylpropanoate
alpha-hydroxyisobutyric acid*	alpha-hydroxyisobutyric acid									
3-deoxytetronic acid*	3-deoxytetronic acid									
D-2-aminobutyric acid*	CPD0-1952	CPD0-1952		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6971251'>6971251</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=2623-91-8'>2623-91-8</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28797'>28797</a>	<a href='http://www.drugbank.ca/drugs/DB04454'>DB04454</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00650'>HMDB00650</a>	<a href='http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMFA01100043'>LMFA01100043</a>	D-&alpha;-amino-<i>N</i>-butyrate // D-2-aminobutyrate // D-&alpha;-aminobutyric acid // (R)-2-aminobutanoic acid // D-(-)-2-aminobutyric acid // D-2-aminobutyric acid // D-2-aminobutanoate
DL-3-aminoisobutyric acid	DL-3-aminoisobutyric acid									
2-ethyl-3-hydroxypropionic acid*	2-ethyl-3-hydroxypropionic acid									
2-methyl-3-hydroxybutyric acid	2-methyl-3-hydroxybutyric acid									
D-xylose	D-Xylopyranose	D-Xylopyranose	D-Xylopyranose			<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:53455'>53455</a>				
2-hydroxypyridine	2-HYDROXYPYRIDINE	2-HYDROXYPYRIDINE		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=8871'>8871</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=142-08-5'>142-08-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16540'>16540</a>		<a href='http://www.hmdb.ca/metabolites/HMDB13751'>HMDB13751</a>		
citramalic acid	citramalic acid									
2-hydroxyglutaric acid	2-HYDROXYGLUTARIC_ACID	2-HYDROXYGLUTARIC_ACID	2-HYDROXYGLUTARIC_ACID	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4609868'>4609868</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=2889-31-8'>2889-31-8</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:11596'>11596</a>				2-hydroxyglutaric acid // &alpha;-hydroxyglutarate // &alpha;-hydroxy-glutarate // 2-hydroxypentanedioic acid
3-hydroxy-3-methylglutaric acid	3-hydroxy-3-methylglutaric acid									
gluconolactone	GLC-D-LACTONE	GLC-D-LACTONE	GLC-D-LACTONE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7027'>7027</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=90-80-2'>90-80-2</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16217'>16217</a>	<a href='http://www.drugbank.ca/drugs/DB04564'>DB04564</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00150'>HMDB00150</a>		3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-one // gluconolactone // glucono-1,5-lactone // 1,5-gluconolactone // D-gluconolactone // glucono-&delta;-lactone // &delta;-gluconolactone // D-glucono-&delta;-lactone // gluconic lactone // gluconic acid lactone
2-keto-l-gluconic acid*	2-keto-l-gluconic acid									
D-glucuronic acid	GLUCURONATE	GLUCURONATE	GLUCURONATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16740916'>16740916</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=6556-12-3'>6556-12-3</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58720'>58720</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00127'>HMDB00127</a>		glucuronate // glucuronic acid // D-glucuronic acid // GlcA // D-glucopyranuronic acid
D-galacturonic acid	D-GALACTURONATE	D-GALACTURONATE	D-GALACTURONATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46173511'>46173511</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=685-73-4'>685-73-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75525'>75525</a>		<a href='http://www.hmdb.ca/metabolites/HMDB02545'>HMDB02545</a>		galacturonate // D-galaturonate // galaturonate // D-galacturonic acid // D-galactopyranuronic acid
D-saccharic acid	D-GLUCARATE	D-GLUCARATE		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5288393'>5288393</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=87-73-0'>87-73-0</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30612'>30612</a>		<a href='http://www.hmdb.ca/metabolites/HMDB29881'>HMDB29881</a>		glucarate // D-glucaric acid // L-gularic acid // D-saccharic acid // D-glucosaccharic acid // saccharate // (<i>D</i>)-glucarate // D-saccharate
4-acetamidobutyric acid	4-acetamidobutyric acid									
L-2-aminoadipic acid	CPD-468	CPD-468	CPD-468	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6992111'>6992111</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=1118-90-7'>1118-90-7</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58672'>58672</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00510'>HMDB00510</a>		L-aminoadipic acid // L-aminoadipate // L-2-amino-hexanedioic acid // L-&alpha;-aminoadipate // L-&alpha;-aminoadipic acid // L-2-aminoadipic acid // L-2-aminohexanedioate
5-hydroxyhexanoic acid*	5-hydroxyhexanoic acid									
L-(-)-fucose	L-fucoses	L-fucoses	L-fucoses			<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18287'>18287</a>				L-galactomethylose // 6-deoxy-L-galactose
D-galactose	D-Galactose	D-Galactose	D-Galactose			<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:12936'>12936</a>				
D-fructose	FRU	FRU	FRU		<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=30237-26-4'>30237-26-4</a> // <a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=57-48-7'>57-48-7</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15824'>15824</a>				fructose // laevosan // levugen // laevoral // fructosteril // levulose // fru // fru-ring // D-fructose-ring // D-fructose
D-gluconic acid	GLUCONATE	GLUCONATE	GLUCONATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6419706'>6419706</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=526-95-4'>526-95-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18391'>18391</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00625'>HMDB00625</a>		D-gluconic acid // dextronic acid // maltonic acid
galactonic acid	galactonic acid									
L-lysine	LYS	LYS	LYS	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460926'>5460926</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-87-1'>56-87-1</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32551'>32551</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00182'>HMDB00182</a>		K // lysine // L-lys // lys // 2,6-diaminohexanoic acid // lysine acid
galactitol	GALACTITOL	GALACTITOL	GALACTITOL	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11850'>11850</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=608-66-2'>608-66-2</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16813'>16813</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00107'>HMDB00107</a>		dulcitol // dulcite // dulcose
2,5-furandicarboxylic acid	2,5-furandicarboxylic acid									
7-methylxanthine	7-METHYLXANTHINE	7-METHYLXANTHINE		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=68374'>68374</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:48991'>48991</a>		<a href='http://www.hmdb.ca/metabolites/HMDB01991'>HMDB01991</a>		heteroxanthine // 3,7-dihydro-7-methyl-1H-purine-2,6-dione
catechol	CATECHOL	CATECHOL	CATECHOL	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=289'>289</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=120-80-9'>120-80-9</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18135'>18135</a>	<a href='http://www.drugbank.ca/drugs/DB02232'>DB02232</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00957'>HMDB00957</a>		pyrocatechol // 2-hydroxyphenol // pyrocatechin // 1,2-dihydroxybenzene // 1,2-benzenediol
aconitic acid	aconitic acid									
7-methylguanine*	CPD0-2377	CPD0-2377		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11361'>11361</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28664'>28664</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00897'>HMDB00897</a>		7-MeG // 7-methylguanine // 2-amino-7-methyl-1,7-dihydro-6H-purin-6-one
citric acid	CIT	CIT	CIT	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=31348'>31348</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=77-92-9'>77-92-9</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16947'>16947</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00094'>HMDB00094</a>		citr // cit // citric acid // 2-hydroxy-1,2,3-propanetricarboxylic acid
L-histidine	HIS	HIS	HIS	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6971009'>6971009</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=71-00-1'>71-00-1</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57595'>57595</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00177'>HMDB00177</a>		glyoxaline-5-alanine // &alpha;-amino-4-imidazoleproprionic acid // (S)-&alpha;-amino-1H-imidazole-4-propanoic acid // H // histidine // his // L-his
3-methylhistidine*	3-methylhistidine									
1-hydroxycyclohexane-1-carboxylic acid*	1-hydroxycyclohexane-1-carboxylic acid									
p-cresol	CPD-108	CPD-108	CPD-108	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2879'>2879</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=106-44-5'>106-44-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17847'>17847</a>	<a href='http://www.drugbank.ca/drugs/DB01688'>DB01688</a>	<a href='http://www.hmdb.ca/metabolites/HMDB01858'>HMDB01858</a>		4-hydroxytoluene // p-hydroxytoluene // 4-cresol // <i>p</i>-cresol
dopamine (hydroxytyramine)	DOPAMINE	DOPAMINE	DOPAMINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3713609'>3713609</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=51-61-6'>51-61-6</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:59905'>59905</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00073'>HMDB00073</a>		deoxyepinephrine // hydroxytyramine // 3,4-dihydroxyphenethylamine // intropin // 2-(3,4-dihydroxyphenyl)ethylamine // 4-(2-aminoethyl)benzene-1,2-diol // 3-hydroxytyramine
3-hydroxyphenylacetic acid	3-HYDROXYPHENYLACETATE	3-HYDROXYPHENYLACETATE		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6950813'>6950813</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=102-29-4'>102-29-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58149'>58149</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00440'>HMDB00440</a>		m-hydroxyphenylacetic acid // 3-hydroxyphenylacetic acid // m-hydroxyphenylacetate
4-hydroxyphenylacetic acid	4-HYDROXYPHENYLACETATE	4-HYDROXYPHENYLACETATE		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4693933'>4693933</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=156-38-7'>156-38-7</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:48999'>48999</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00020'>HMDB00020</a>		4-HPA // p-hydroxyphenylacetic acid // benzeneacetic acid, 4-hydroxy- // DL-para-hydroxyphenylacetic acid // 4-hydroxyphenylacetic acid // 4-hydroxyphenyl acetate // p-hydroxyphenylacetate
4-hydroxy-3-methoxybenzoic acid	VANILLATE	VANILLATE		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=54675858'>54675858</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16632'>16632</a>	<a href='http://www.drugbank.ca/drugs/DB02130'>DB02130</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00484'>HMDB00484</a>		4-hydroxy-3-methoxybenzoate // vanillic acid // 4-hydroxy-3-methoxybenzoic acid
3-(3-Hydroxyphenyl)-3-hydroxypropionic acid*	3-(3-Hydroxyphenyl)-3-hydroxypropionic acid									
glucosylglycerol*	glucosylglycerol									
hippuric acid	CPD-425	CPD-425	CPD-425	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4402710'>4402710</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=495-69-2'>495-69-2</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:606565'>606565</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00714'>HMDB00714</a>		hippuric acid // <i>N</i>-benzoylglycine // benzoylaminoacetic acid
4-hydroxyhippuric acid*	4-hydroxyhippuric acid									
2-hydroxyhippuric acid*	2-hydroxyhippuric acid									
D-erythritol	D-erythritol									
L-pyrglutamic acid	5-OXOPROLINE	5-OXOPROLINE	5-OXOPROLINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5289118'>5289118</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=98-79-3'>98-79-3</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58402'>58402</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00267'>HMDB00267</a>		pyrrolidone-COO // pyrrolidone-carboxylate // L-5-pyrrolidone-2-carboxylic acid // L-pyroglutamic acid // 5-oxo-L-proline // pyroglutamic acid // pyroglutamate // 5-pyrrolidone-2-carboxylic acid // L-pyroglutamate // Pidolic acid
lactose (additive)	CPD-15972	CPD-15972	CPD-15972							&beta;-D-galactopyranosyl-(1&rarr;4)-D-glucopyranose // D-lactose // &beta;-D-Galp-(1&rarr;4)-D-Glcp
malonic acid	MALONATE	MALONATE		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9084'>9084</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=141-82-2'>141-82-2</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15792'>15792</a>	<a href='http://www.drugbank.ca/drugs/DB02201'>DB02201</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00691'>HMDB00691</a>		malonyl // propanedioic acid // malonic acid
malonic acid 1 (deuterated?)	malonic acid 1									
malonic acid 2 (deuterated?)	MALONATE	MALONATE								
methylmalonic acid	CPD-546	CPD-546		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5459982'>5459982</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=516-05-2'>516-05-2</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17453'>17453</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00202'>HMDB00202</a>		Methylmalonic acid
methylsuccinic acid*	DIETHYL-2R3R-2-METHYL-3-HYDROXYSUCCIN	DIETHYL-2R3R-2-METHYL-3-HYDROXYSUCCIN		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=440395'>440395</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17132'>17132</a>				2-hydroxy-3-methyl-succinic acid diethyl ester
myo-inositol	MYO-INOSITOL	MYO-INOSITOL	MYO-INOSITOL	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=892'>892</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=6917-35-7'>6917-35-7</a> // <a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=87-89-8'>87-89-8</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17268'>17268</a>	<a href='http://www.drugbank.ca/drugs/DB03106'>DB03106</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00211'>HMDB00211</a>		cis-1,2,3,5-trans-4,6-Cyclohexanehexol // dambose // mesoinositol // <i>meso</i>-inositol // M-inositol // 1,2,3,5/4,6 inositol
N-acetylneuraminic acid	N-ACETYLNEURAMINATE	N-ACETYLNEURAMINATE	N-ACETYLNEURAMINATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6857396'>6857396</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=131-48-6'>131-48-6</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35418'>35418</a>				sialic acid // NANA // O-sialic acid // sialate // <i>N</i>-acetylneuraminic acid // Neu5Ac // 5-acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid // 5-acetamido-3,5-dideoxy-D-glycero-D-galacto-non-2-ulopyranosonic acid
N2,N2-dimethylguanosine	N2,N2-dimethylguanosine									
